"","id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_Kg","weight_class"
"33","2548-P",29,1107.35936263669,"VSDEF","Paris","Florida","UK","National Pumpkin Festival","1772 Y","1224 M",381,1195,-4,"Porcelain Doll",502.203792578999,"heavy"
"34","2884-P",85,1096.28090862371,"ETWMA","Chicago","Texas","France","National Pumpkin Festival","1293 Z","1850 G",376,1167,-8,"White Pumpkin",497.17955039624,"medium"
"35","2364-P",34,1092.03693792149,"ZAMOC","Houston","New York","UK","National Pumpkin Festival","1332 T","1875 W",378,1125,-1,"Lady Godiva",495.254847129929,"medium"
"36","2519-P",71,1072.79496540688,"KWEHA","New York","Texas","USA","Regional Pumpkin Festival","1378 O","1442 K",379,1159,-6,"Lady Godiva",486.528328982712,"medium"
"37","2563-P",29,1062.54949341118,"JUIKK","Nottingham","Florida","USA","National Pumpkin Festival","1306 V","1620 O",1,-1,-2,"Porcelain Doll",481.881856422305,"medium"
"38","2798-P",51,1062.99198132847,"OFZJO","Houston","California","France","National Pumpkin Festival","1636 S","1440 F",360,996,9,"White Pumpkin",482.082531214723,"medium"
"39","2987-P",89,1054.90204628371,"QNGQL","Nottingham","California","France","National Pumpkin Festival","1980 T","1191 X",346,932,15,"Hooligan",478.41362643252,"medium"
"40","2184-P",33,1041.64252518676,"JURXP","Chicago","California","France","National Pumpkin Festival","1133 J","1292 B",359,976,10,"White Pumpkin",472.400238179938,"medium"
"41","2499-P",22,1041.57782919146,"HCYDR","New York","California","UK","Local Pumpkin Festival","1283 U","1389 O",352,959,3,"Lady Godiva",472.370897592499,"medium"
"42","2181-P",66,1035.29372357018,"IIGKD","Paris","Florida","UK","National Pumpkin Festival","1989 O","1301 A",375,1141,-6,"Lady Godiva",469.520963070378,"medium"
"43","2109-P",46,1041.6451630583,"POAYF","Los Angeles","Texas","USA","Local Pumpkin Festival","1179 L","1551 O",357,991,5,"White Pumpkin",472.401434493562,"medium"
"44","2780-P",40,1037.2314018989,"BYJPB","Nottingham","Texas","UK","Regional Pumpkin Festival","1267 D","1030 V",367,1033,-5,"White Pumpkin",470.399728752335,"medium"
"45","2380-P",74,1013.42735569645,"HENWY","Paris","Florida","UK","National Pumpkin Festival","1774 O","1590 L",355,1011,-1,"White Pumpkin",459.604242946235,"medium"
"46","2589-P",90,1015.07186256256,"AKBOA","Los Angeles","California","USA","Local Pumpkin Festival","1578 V","1161 Q",347,963,9,"Lady Godiva",460.35005104878,"medium"
"47","2005-P",11,997.864567494951,"OSJJF","Paris","California","USA","Regional Pumpkin Festival","1358 F","1100 K",363,1036,1,"Hooligan",452.546289113357,"medium"
"48","2873-P",47,989.992679249495,"ACJXL","Houston","New York","France","Regional Pumpkin Festival","1024 Z","1123 Y",-2,3,-3,"Porcelain Doll",448.976271768479,"medium"
"49","2886-P",100,1000.7441271618,"VADKV","Paris","Florida","UK","Local Pumpkin Festival","1413 X","1037 W",-4,1,-5,"Hooligan",453.852211864762,"medium"
"50","2203-P",69,992.306354951113,"PFGLG","Chicago","California","France","Local Pumpkin Festival","1497 V","1728 T",3,-1,0,"White Pumpkin",450.025557800958,"medium"
"51","2355-P",55,984.565781276673,"CTFIF","Houston","Texas","UK","Regional Pumpkin Festival","1804 S","1976 Y",348,967,2,"Lady Godiva",446.515093549512,"medium"
"52","2888-P",98,993.386844573542,"RHPEM","New York","Texas","France","National Pumpkin Festival","1933 G","1296 R",349,945,5,"Lady Godiva",450.515575770314,"medium"
"53","2041-P",10,980.323867068626,"ZPZPA","New York","California","France","National Pumpkin Festival","1854 Z","1546 U",352,936,3,"White Pumpkin",444.591322933617,"medium"
"54","2601-P",99,984.409446297213,"ZOWGH","Paris","Texas","USA","Local Pumpkin Festival","1189 Q","1106 C",359,1013,1,"White Pumpkin",446.44419333207,"medium"
"55","2281-P",4,960.368404937908,"VUKFH","Nottingham","New York","UK","Regional Pumpkin Festival","1277 L","1529 A",369,1089,-14,"Lady Godiva",435.54122672921,"medium"
"56","2643-P",66,947.092959320173,"KTPDJ","Paris","California","France","Regional Pumpkin Festival","1061 K","1821 O",356,1011,-5,"Hooligan",429.520616471734,"medium"
"57","2469-P",87,951.081105602905,"DKLLF","Chicago","New York","USA","Regional Pumpkin Festival","1902 C","1828 W",337,821,17,"Porcelain Doll",431.329299593154,"medium"
"58","2901-P",22,957.633132268675,"DFFKR","Los Angeles","Texas","USA","National Pumpkin Festival","1615 B","1028 S",362,1046,-4,"White Pumpkin",434.300740257902,"medium"
"59","2445-P",90,940.332369719632,"LJMET","Nottingham","California","USA","Local Pumpkin Festival","1929 W","1442 E",346,945,-4,"Lady Godiva",426.45458944201,"medium"
"60","2811-P",89,937.010204312392,"LGDNK","New York","Texas","France","National Pumpkin Festival","1605 B","1975 Q",347,906,1,"Porcelain Doll",424.94793846367,"medium"
"61","2373-P",94,931.412924825214,"EUABU","New York","Florida","France","National Pumpkin Festival","1161 E","1068 Y",349,901,6,"Lady Godiva",422.40948971665,"medium"
"62","2023-P",44,919.148765297607,"CEGXU","Chicago","Florida","France","National Pumpkin Festival","1249 V","1652 U",346,891,3,"Porcelain Doll",416.847512606624,"medium"
"63","2025-P",93,890.852477997541,"ENMVI","New York","Texas","USA","National Pumpkin Festival","1187 I","1364 R",337,857,0,"White Pumpkin",404.014729250586,"medium"
"64","2194-P",55,889.400753981061,"WSSOK","Paris","Florida","France","Regional Pumpkin Festival","1378 C","1512 D",359,998,-8,"Lady Godiva",403.356351011819,"medium"
"65","2871-P",35,870.123482020572,"MNSPS","Paris","Texas","UK","Local Pumpkin Festival","1084 J","1718 V",321,748,15,"Lady Godiva",394.613824045611,"medium"
"66","2050-P",93,871.717610947788,"AWCAN","Houston","Florida","UK","National Pumpkin Festival","1932 H","1818 O",343,918,-5,"Lady Godiva",395.336785010335,"medium"
"67","2293-P",24,867.966076431796,"NULME","Nottingham","California","UK","Local Pumpkin Festival","1528 U","1342 V",341,903,-6,"Porcelain Doll",393.635408812606,"medium"
"68","2585-P",48,853.896657780744,"ANWWP","Paris","California","France","National Pumpkin Festival","1327 A","1480 O",357,988,-16,"Lady Godiva",387.25472008197,"medium"
"69","2048-P",72,857.169279335998,"LWYCN","Los Angeles","Florida","USA","National Pumpkin Festival","1202 T","1608 V",336,872,3,"Hooligan",388.738902193196,"medium"
"70","2245-P",100,850.374474572018,"ZMUYG","Houston","Texas","France","Regional Pumpkin Festival","1330 E","1016 R",338,867,0,"Hooligan",385.657358082548,"medium"
"71","2153-P",1,855.117163129151,"VAGDL","Los Angeles","Texas","France","Local Pumpkin Festival","1689 Q","1803 I",334,818,10,"Porcelain Doll",387.80823724678,"medium"
"72","2402-P",21,854.812589896843,"PKOFP","Los Angeles","Florida","UK","Regional Pumpkin Festival","1764 E","1991 F",339,850,2,"Porcelain Doll",387.670108796754,"medium"
"73","2403-P",6,847.903867223859,"GZASM","Los Angeles","Texas","France","Local Pumpkin Festival","1659 I","1338 K",330,825,2,"Hooligan",384.53690123531,"medium"
"74","2117-P",54,847.874835488386,"PEMRR","Nottingham","California","France","Regional Pumpkin Festival","1567 B","1263 Q",340,899,-2,"Porcelain Doll",384.523734915368,"medium"
"75","2471-P",56,833.081044637598,"KVPOA","Chicago","California","USA","National Pumpkin Festival","1318 S","1658 F",331,800,9,"Lady Godiva",377.814532715464,"medium"
"76","2401-P",92,823.757658655755,"HBRVM","Los Angeles","California","UK","National Pumpkin Festival","1771 J","1055 C",318,751,16,"Porcelain Doll",373.586239753177,"medium"
"77","2727-P",3,822.235764542595,"ARIYR","Nottingham","Florida","France","Local Pumpkin Festival","1252 O","1575 F",345,940,-15,"Hooligan",372.896038341313,"medium"
"78","2062-P",60,816.588966893032,"EMQBN","Paris","Texas","France","Local Pumpkin Festival","1497 P","1891 B",349,917,-6,"White Pumpkin",370.335132377792,"medium"
"79","2720-P",60,812.250121003948,"LNTMT","Houston","California","UK","Local Pumpkin Festival","1428 K","1216 Q",323,733,9,"Hooligan",368.367401815849,"medium"
"80","2923-P",5,816.426005271263,"VBXVI","Los Angeles","California","USA","Regional Pumpkin Festival","1580 G","1801 F",325,760,8,"Hooligan",370.261226880392,"medium"
"81","2385-P",68,803.39804328084,"QVUBJ","Chicago","Florida","France","National Pumpkin Festival","1329 E","1547 A",311,699,19,"White Pumpkin",364.352854095619,"medium"
"82","2848-P",12,795.930587739311,"PZTFA","Chicago","Texas","UK","Local Pumpkin Festival","1377 X","1452 O",323,724,9,"Hooligan",360.966252942998,"medium"
"83","2142-P",8,802.340666593984,"CDTZL","Chicago","Texas","USA","Local Pumpkin Festival","1525 G","1293 K",326,770,4,"White Pumpkin",363.873318183213,"medium"
"84","2145-P",71,804.960957983509,"GKCUM","Los Angeles","Texas","UK","Regional Pumpkin Festival","1337 W","1581 K",339,831,-2,"White Pumpkin",365.061658949437,"medium"
"85","2874-P",85,802.496578516066,"GVRCM","Los Angeles","Florida","France","National Pumpkin Festival","1132 E","1311 K",333,839,-3,"Porcelain Doll",363.944026537898,"medium"
"86","2821-P",90,796.007924121805,"JKITK","Paris","California","UK","Regional Pumpkin Festival","1472 T","1668 K",328,777,0,"Porcelain Doll",361.001326132338,"medium"
"87","2493-P",46,783.605235609226,"UEJQD","New York","Florida","France","National Pumpkin Festival","1593 T","1050 X",320,749,1,"Hooligan",355.376524085817,"medium"
"88","2479-P",2,763.665022238158,"UFGTY","Nottingham","Florida","UK","Regional Pumpkin Festival","1702 Y","1360 X",319,729,4,"Lady Godiva",346.333343418666,"medium"
"89","2755-P",53,752.737819089554,"BNXWH","Houston","California","USA","Local Pumpkin Festival","1329 F","1660 M",324,781,-5,"Hooligan",341.377695732224,"medium"
"90","2436-P",65,763.573730268329,"DPSZE","Nottingham","Texas","France","Local Pumpkin Festival","1775 U","1702 V",329,806,-10,"Lady Godiva",346.291941164775,"medium"
"91","2225-P",12,755.621131942607,"LRAHG","Nottingham","Texas","USA","Regional Pumpkin Festival","1164 N","1726 X",324,796,-5,"White Pumpkin",342.685320608892,"medium"
"92","2457-P",81,754.181343861856,"ZJNEU","Nottingham","California","UK","Regional Pumpkin Festival","1892 F","1386 T",329,793,0,"Hooligan",342.032355492905,"medium"
"93","2656-P",40,740.607531878166,"PBVAT","Nottingham","California","France","Local Pumpkin Festival","1525 C","1454 A",339,849,-12,"Lady Godiva",335.876431690778,"medium"
"94","2007-P",83,734.313995651901,"CTEGK","New York","New York","France","Local Pumpkin Festival","1636 U","1795 V",327,756,-3,"Hooligan",333.022220250295,"medium"
"95","2648-P",82,732.220179276541,"YCFHI","Houston","Texas","France","Local Pumpkin Festival","1871 O","1736 E",325,770,-6,"White Pumpkin",332.07264366283,"medium"
"96","2327-P",3,721.268551525474,"UDUZV","Chicago","Florida","France","Local Pumpkin Festival","1815 B","1443 Z",315,689,3,"Lady Godiva",327.105919059172,"medium"
"97","2833-P",35,724.90672952868,"FFVNB","Houston","New York","USA","National Pumpkin Festival","1477 P","1293 U",328,746,2,"White Pumpkin",328.755886407565,"medium"
"98","2911-P",26,721.182325442322,"REZIO","Nottingham","Texas","UK","Regional Pumpkin Festival","1655 V","1230 L",316,735,2,"Porcelain Doll",327.066814259556,"medium"
"99","2485-P",46,720.236595336348,"CAQRW","Nottingham","Texas","UK","National Pumpkin Festival","1895 P","1552 N",315,704,4,"Porcelain Doll",326.637911717165,"medium"
"100","2121-P",74,699.094130137935,"SLZOB","Houston","Texas","UK","National Pumpkin Festival","1430 F","1940 B",328,759,-10,"White Pumpkin",317.049492126048,"medium"
"101","2234-P",42,694.332849563099,"LMNZO","Paris","New York","USA","National Pumpkin Festival","1005 T","1547 N",300,641,5,"Hooligan",314.890181207755,"medium"
"102","2903-P",26,699.150756533258,"PMSWO","Houston","Texas","France","Local Pumpkin Festival","1395 Z","1706 L",308,664,3,"Hooligan",317.075173030956,"medium"
"103","2673-P",23,696.926597507671,"VDZWS","New York","Texas","USA","Regional Pumpkin Festival","1735 S","1222 E",2,1,2,"White Pumpkin",316.066484130463,"medium"
"104","2077-P",31,679.852230113186,"JQVNS","Nottingham","Texas","France","Regional Pumpkin Festival","1474 M","1586 T",301,640,7,"Porcelain Doll",308.323006854053,"medium"
"105","2464-P",39,683.481412891299,"SXIBX","Chicago","New York","UK","Regional Pumpkin Festival","1411 J","1591 C",322,710,2,"Lady Godiva",309.968894735283,"medium"
"106","2875-P",87,691.417251028121,"LAQDM","New York","Florida","France","National Pumpkin Festival","1669 D","1620 I",1,2,2,"White Pumpkin",313.567914298467,"medium"
"107","2248-P",16,685.735131533816,"XYMVO","Houston","Florida","USA","Local Pumpkin Festival","1898 R","1944 F",301,617,15,"White Pumpkin",310.99098935774,"medium"
"108","2723-P",62,671.528993602842,"PLHOZ","New York","California","UK","National Pumpkin Festival","1333 F","1421 Z",314,701,-2,"Lady Godiva",304.548296418522,"medium"
"109","2582-P",95,674.167108859122,"TDJNK","Chicago","Florida","France","Regional Pumpkin Festival","1963 F","1181 L",329,794,-19,"Hooligan",305.74472057103,"medium"
"110","2153-P",17,676.410850328207,"EYNPN","New York","Texas","France","Local Pumpkin Festival","1757 J","1534 U",304,639,6,"Lady Godiva",306.76229039828,"medium"
"111","2387-P",59,668.390015252493,"EXECL","Chicago","New York","France","Local Pumpkin Festival","1437 F","1895 R",311,654,4,"Lady Godiva",303.124723470519,"medium"
"112","2602-P",69,667.182814288884,"MTSUR","Houston","Texas","USA","National Pumpkin Festival","1484 P","1755 N",307,672,-6,"White Pumpkin",302.57724004031,"medium"
"113","2991-P",4,668.9339200221,"IGVJT","Los Angeles","New York","USA","Regional Pumpkin Festival","1073 C","1717 G",320,736,-5,"White Pumpkin",303.371392300272,"medium"
"114","2002-P",79,668.557993243076,"YLQUY","Chicago","California","USA","Regional Pumpkin Festival","1889 J","1340 O",-3,3,-1,"White Pumpkin",303.200903965114,"medium"
"115","2691-P",57,666.577355518006,"GTVVI","Los Angeles","Texas","France","Regional Pumpkin Festival","1763 A","1307 V",325,743,-7,"Hooligan",302.302655563721,"medium"
"116","2009-P",44,653.175202990882,"DFTEI","Chicago","California","France","Regional Pumpkin Festival","1038 S","1950 I",326,783,-13,"White Pumpkin",296.224581855275,"medium"
"117","2923-P",53,649.182626700029,"WBQWK","Paris","California","USA","National Pumpkin Festival","1961 F","1202 K",319,691,-9,"Hooligan",294.413889659877,"medium"
"118","2565-P",64,647.55995807983,"SXQDI","Houston","California","France","Regional Pumpkin Festival","1761 Q","1013 W",320,702,-7,"Hooligan",293.677985523732,"medium"
"119","2646-P",5,639.884842247702,"WWWTT","New York","Florida","UK","Regional Pumpkin Festival","1960 H","1627 C",306,640,4,"Lady Godiva",290.197207368572,"medium"
"120","2776-P",88,631.699218611233,"YEPEH","Houston","California","France","National Pumpkin Festival","1040 V","1276 W",316,692,-10,"Hooligan",286.484906399652,"medium"
"121","2879-P",11,636.14513517078,"EGFUY","Chicago","California","USA","National Pumpkin Festival","1066 R","1448 Z",317,699,-10,"Porcelain Doll",288.501195088789,"medium"
"122","2083-P",51,626.127948691137,"APKQI","Paris","New York","UK","Regional Pumpkin Festival","1153 X","1232 J",313,690,-10,"Hooligan",283.958253374665,"medium"
"123","2539-P",93,627.723816119134,"MUEFK","New York","New York","France","National Pumpkin Festival","1579 V","1286 Z",283,527,21,"Porcelain Doll",284.682002775118,"medium"
"124","2120-P",57,623.366677010432,"LGCBO","Los Angeles","Florida","USA","National Pumpkin Festival","1034 F","1490 H",305,650,-5,"White Pumpkin",282.70597596845,"medium"
"125","2140-P",78,625.848380581476,"SGBMP","Houston","Florida","France","National Pumpkin Festival","1042 A","1069 Z",326,732,-12,"Porcelain Doll",283.831465116316,"medium"
"126","2659-P",76,613.74148167856,"QTNUS","Chicago","Texas","USA","Regional Pumpkin Festival","1725 R","1922 B",316,720,-18,"Porcelain Doll",278.340808017488,"medium"
"127","2022-P",3,617.056368900463,"KQIVP","Houston","Florida","France","National Pumpkin Festival","1573 T","1220 P",-4,-3,2,"Porcelain Doll",279.844158231502,"medium"
"128","2241-P",13,604.376885618083,"HWHCX","Nottingham","Florida","USA","National Pumpkin Festival","1898 Z","1395 F",310,674,-11,"White Pumpkin",274.093825677135,"medium"
"129","2250-P",70,594.308609318919,"HYCFD","Los Angeles","California","France","National Pumpkin Festival","1295 E","1359 M",291,563,6,"Lady Godiva",269.527713976834,"medium"
"130","2295-P",98,598.27060372103,"LMLBA","Paris","Texas","USA","Regional Pumpkin Festival","1643 D","1606 A",289,563,11,"Porcelain Doll",271.324536834934,"medium"
"131","2149-P",42,587.535800522193,"EDUZL","Nottingham","New York","France","Regional Pumpkin Festival","1667 Z","1714 E",0,0,1,"Hooligan",266.456145361539,"medium"
"132","2140-P",99,597.536050365306,"XQYMT","Paris","Texas","UK","Regional Pumpkin Festival","1328 H","1868 F",314,671,-17,"White Pumpkin",270.991406061363,"medium"
"133","2974-P",2,575.322578166798,"TURTN","New York","New York","USA","National Pumpkin Festival","1648 N","1280 O",294,594,-2,"Lady Godiva",260.917269009886,"medium"
"134","2269-P",52,571.626017001458,"POROP","New York","Texas","France","Local Pumpkin Festival","1786 W","1144 F",-1,4,-2,"Lady Godiva",259.240824036942,"medium"
"135","2890-P",61,569.882313853502,"FLIKI","Houston","New York","USA","National Pumpkin Festival","1785 U","1298 R",292,571,4,"White Pumpkin",258.450028958504,"medium"
"136","2852-P",26,565.937591359019,"ZFIAZ","Paris","Florida","USA","Local Pumpkin Festival","1926 X","1242 J",325,731,-27,"Porcelain Doll",256.661039165088,"medium"
"137","2010-P",93,572.104186167009,"IYQYG","Los Angeles","California","France","Local Pumpkin Festival","1386 K","1505 O",292,572,-5,"White Pumpkin",259.457680801365,"medium"
"138","2545-P",73,548.190620402806,"EBMUN","New York","Florida","USA","Regional Pumpkin Festival","1110 O","1059 C",283,537,4,"Hooligan",248.612526259776,"medium"
"139","2564-P",9,551.660658073798,"JVXCI","Chicago","Florida","France","Regional Pumpkin Festival","1286 Q","1126 U",1,2,2,"Hooligan",250.186239489251,"medium"
"140","2658-P",80,565.458061920479,"LTONX","Houston","New York","USA","Regional Pumpkin Festival","1890 I","1009 Q",302,603,-5,"Porcelain Doll",256.443565496816,"medium"
"141","2704-P",32,559.529998687096,"PVLMR","Los Angeles","New York","France","National Pumpkin Festival","1329 E","1739 R",-4,-2,-5,"White Pumpkin",253.755101445395,"medium"
"142","2210-P",32,539.08482019417,"HKDBC","Paris","New York","UK","Regional Pumpkin Festival","1705 O","1481 U",300,611,-9,"Lady Godiva",244.482911652685,"medium"
"143","2186-P",66,509.101548157074,"YQFKV","New York","Florida","USA","Regional Pumpkin Festival","1576 B","1741 T",303,600,-11,"Porcelain Doll",230.885055853548,"medium"
"144","2597-P",6,522.38028767053,"DMBIM","Los Angeles","Texas","USA","Regional Pumpkin Festival","1765 D","1947 Z",268,443,12,"Lady Godiva",236.907159941284,"medium"
"145","2460-P",38,509.926624153741,"XIDMA","Nottingham","Texas","UK","Regional Pumpkin Festival","1274 G","1846 O",288,560,-10,"Hooligan",231.259239979021,"medium"
"146","2690-P",56,507.080999841355,"MAGSI","Nottingham","Texas","France","Regional Pumpkin Festival","1121 E","1024 B",290,534,-8,"Hooligan",229.968707411045,"medium"
"147","2469-P",62,512.903907028958,"JGJJA","New York","Florida","France","National Pumpkin Festival","1834 R","1006 C",286,517,2,"White Pumpkin",232.609481645786,"medium"
"148","2923-P",27,512.081788159348,"DDCII","Paris","California","UK","National Pumpkin Festival","1626 X","1505 Y",0,4,-3,"Lady Godiva",232.23663862102,"medium"
"149","2081-P",83,501.010786975734,"VUNBG","Houston","Texas","France","Local Pumpkin Festival","1177 V","1002 A",296,549,-12,"Porcelain Doll",227.215776406229,"medium"
"150","2645-P",44,500.500168883055,"OGBIR","New York","Texas","USA","Local Pumpkin Festival","1106 X","1524 E",-5,-5,2,"White Pumpkin",226.984203575082,"medium"
"151","2234-P",92,495.546843915246,"QCWGE","Los Angeles","California","UK","Regional Pumpkin Festival","1062 I","1439 S",5,1,-2,"Porcelain Doll",224.737797693989,"medium"
"152","2912-P",81,483.341244006529,"NOQKO","Chicago","New York","USA","Local Pumpkin Festival","1561 R","1061 G",283,496,-4,"Lady Godiva",219.202378234254,"medium"
"153","2567-P",29,480.275071840733,"QPHFN","New York","Florida","USA","National Pumpkin Festival","1465 S","1936 Z",272,472,5,"White Pumpkin",217.811823964051,"medium"
"154","2480-P",50,487.625700576231,"MXEUK","New York","Florida","UK","Local Pumpkin Festival","1628 G","1488 E",1,5,-4,"White Pumpkin",221.1454424382,"medium"
"155","2761-P",52,484.6094462974,"HBTKL","Houston","Florida","France","Regional Pumpkin Festival","1303 F","1250 V",290,524,-12,"Lady Godiva",219.777526665487,"medium"
"156","2133-P",10,471.261382505298,"EZEPM","Los Angeles","Florida","France","Local Pumpkin Festival","1803 E","1741 S",277,469,3,"Lady Godiva",213.7239829956,"medium"
"157","2653-P",75,476.536770149134,"PQDRQ","Paris","California","USA","Local Pumpkin Festival","1990 Q","1301 B",268,455,4,"White Pumpkin",216.116449047226,"medium"
"158","2238-P",79,457.224191355705,"ZQIDR","Paris","New York","France","Regional Pumpkin Festival","1747 A","1505 N",0,-2,4,"Porcelain Doll",207.357909911884,"medium"
"159","2866-P",91,452.716099252924,"WDTYK","Nottingham","Florida","France","Local Pumpkin Festival","1062 L","1619 A",276,466,3,"White Pumpkin",205.313423697471,"medium"
"160","2666-P",21,454.532836146094,"JXORS","Houston","Florida","USA","Local Pumpkin Festival","1068 R","1901 D",265,398,16,"Lady Godiva",206.137340655825,"medium"
"161","2333-P",20,449.259659237228,"AJYEP","Los Angeles","New York","France","Regional Pumpkin Festival","1006 L","1035 W",272,472,-8,"White Pumpkin",203.745877205092,"medium"
"162","2687-P",57,458.906176112592,"QOOII","Houston","California","UK","Local Pumpkin Festival","1874 M","1564 P",278,510,-7,"Lady Godiva",208.120714790291,"medium"
